PC1,PC2,BinomName,Order2,Order,depth_median,t_median,rmax,maxwt_all_prev,maxwt_all,log_wt,invtemp,invtemp_scaled,depth_scaled
-0.889791744,-0.051027681,Acroteriobatus_annulatus,Rhinopristiformes,rays,36.5,21.785,0.565979797,6984.015709,6984.015709,8.851379347,39.34754073,-0.332629897,-0.296547878
-1.042303562,-0.169379309,Aetobatus_flagellum,Myliobatiformes,rays,30,23.402,0.232729205,50000,50000,10.81977828,39.1329916,-0.428394586,-0.308625329
-0.335519856,0.300910771,Pteromylaeus_bovinus,Myliobatiformes,rays,75,16.501,0.903413178,116000,116000,11.66134547,40.0653439,-0.01223616,-0.225012206
2.369174282,0.052062281,Amblyraja_georgiana,Rajiformes,skates,637,3.089,0.175918412,11893.13914,11893.13914,9.38371697,42.01060287,0.856036395,0.819222804
1.005495814,0.814198748,Amblyraja_radiata,Rajiformes,skates,232.5,6.258,0.356450865,11400,11400,9.341368634,41.53412546,0.643359181,0.067633727
-1.409335456,-0.483857063,Anoxypristis_cuspidata,Rhinopristiformes,rays,20,27.55,0.555295804,707515.8811,707515.8811,13.46951536,38.59317235,-0.669344634,-0.327206024
-0.65337816,-0.200887021,Aptychotrema_rostrata,Rhinopristiformes,rays,110,21.272,0.18123601,6492.879645,6492.879645,8.778461416,39.41609977,-0.302028352,-0.159979776
3.146291443,-0.702773717,Bathyraja_parmifera,Rajiformes,skates,928.5,2.973,0.345675904,18200,18200,9.809176873,42.02825163,0.863913978,1.360850038
1.862491573,0.265371281,Rhinoraja_albomaculata,Rajiformes,skates,500,4.6255,0.265188631,4293.324949,4293.324949,8.364816758,41.77822351,0.752313128,0.564667295
2.811572662,-0.406842827,Bathyraja_aleutica,Rajiformes,skates,808.5,3.175,0.273341887,23100,23100,10.0475879,41.997528,0.850200388,1.137881708
1.306233329,0.676109199,Bathyraja_brachyurops,Rajiformes,skates,316,5.394,0.460763434,16870.33741,9691.632812,9.179018196,41.66295783,0.700863922,0.222782523
2.406092483,-0.02926633,Bathyraja_lindbergi,Rajiformes,skates,659.5,3.3205,0.217313262,4676.060025,4676.060025,8.450211159,41.97542568,0.840334945,0.861029366
2.32477111,0.028680765,Bathyraja_maculata,Rajiformes,skates,633,3.4425,0.179479612,8500,8500,9.047821442,41.95691107,0.832070891,0.811790526
2.755003292,-0.339909969,Bathyraja_minispinosa,Rajiformes,skates,785,3.121,0.184627135,4612.310517,3854.155823,8.25690728,42.00573685,0.853864433,1.094217077
2.066086882,0.258750032,Rhinoraja_taranetzi,Rajiformes,skates,540,3.592,0.404960985,2682.748951,2682.748951,7.894597276,41.93424535,0.821953972,0.638990071
4.705414776,-2.123470081,Bathyraja_trachura,Rajiformes,skates,1495.5,2.2545,0.386204421,5000,5000,8.517193191,42.13789871,0.912855302,2.414375395
-0.818924171,-0.3165066,Dasyatis_lata,Myliobatiformes,rays,100.5,22.945,0.123772597,290000,290000,12.5776362,39.19339038,-0.401435397,-0.177631436
0.529420524,1.263076309,Beringraja_binoculata,Rajiformes,skates,56.5,6.403,0.328075682,91000,91000,11.41861479,41.51258232,0.633743333,-0.25938649
-0.711962506,0.026948692,Dasyatis_chrysonota,Myliobatiformes,rays,55.5,20.274,0.236833405,2087.408823,36058.05,10.49288542,39.55016265,-0.242188956,-0.261244559
-0.547436966,0.338625822,Dasyatis_pastinaca,Myliobatiformes,rays,27.5,17.502,0.245511225,2595.22322,8660,9.066470002,39.92735961,-0.073825887,-0.313270503
0.117777138,0.36005172,Dipturus_batis,Rajiformes,skates,150,13.596,0.345068186,97070,97070,11.48318765,40.47124258,0.168938014,-0.085657
1.125617869,0.576952655,Zearaja_chilensis,Rajiformes,skates,300.5,6.8835,0.26709013,23030.63057,23030.63057,10.04458037,41.44135229,0.60194958,0.193982447
0.338873749,0.843919027,Dipturus_intermedia,Rajiformes,skates,100,9.6935,0.240230226,124371.8549,68131.0422,11.12918822,41.0296398,0.418180398,-0.178560471
0.228892102,0.865322728,Dipturus_laevis,Rajiformes,skates,75,10.178,0.376412133,18000,18000,9.798127037,40.9594778,0.386863363,-0.225012206
1.181903216,0.846082266,Dipturus_trachydermus,Rajiformes,skates,260,5.1525,0.224219741,193875.5862,104289.936,11.55493015,41.69911131,0.717001144,0.118730635
-0.455182513,0.288984099,Glaucostegus_cemiculus,Rhinopristiformes,rays,54.5,17.2565,0.47112834,49900,49900,10.81777628,39.96111287,-0.058760011,-0.263102629
-1.326533818,-0.558717843,Glaucostegus_typus,Rhinopristiformes,rays,50,27.501,0.351886298,67218.04611,58339.73361,10.97403868,38.59946225,-0.666537116,-0.271463941
-0.947818152,-0.114309503,Gymnura_natalensis,Myliobatiformes,rays,37.5,22.507,0.29787306,82600,82600,11.32176496,39.25145329,-0.375518833,-0.294689809
-1.08769242,-0.067616577,Dasyatis_americana,Myliobatiformes,rays,2,23.064,0.335580843,135630,111580,11.6224971,39.17764497,-0.408463415,-0.360651273
-0.378884449,0.257546178,Dasyatis_dipterura,Myliobatiformes,rays,75,16.9985,0.144352392,14487.08869,14487.08869,9.581013097,39.99664629,-0.042899558,-0.225012206
1.648965337,0.251550774,Leucoraja_erinacea,Rajiformes,skates,462,5.828,0.322638161,1444.840325,1444.840325,7.275754093,41.59814367,0.671933916,0.494060657
0.053262036,0.374367827,Leucoraja_naevus,Rajiformes,skates,135,13.878,0.696850659,3544.939378,3544.939378,8.173276338,40.43148029,0.15118999,-0.113528041
1.500724381,0.620968089,Leucoraja_ocellata,Rajiformes,skates,363.5,4.658,0.418558409,12628.54177,12628.54177,9.443714751,41.77333599,0.750131568,0.31104082
-1.188388129,-0.420572154,Himantura_gerrardi,Myliobatiformes,rays,50,25.806,0.437523399,395589.58,19333.25696,9.869582051,38.81831081,-0.568853364,-0.271463941
-1.081953787,-0.424501505,Himantura_astra,Myliobatiformes,rays,71,25.182,0.143622179,94595.04,14166,9.558600006,38.89950433,-0.532612376,-0.232444484
2.501401398,-0.307091804,Malacoraja_senta,Rajiformes,skates,730.5,4.276,0.368042286,2824.947378,9920.785351,9.202387366,41.83085553,0.775805596,0.992952294
-0.038319074,-0.142901812,Manta_alfredi,Myliobatiformes,rays,216,17.343,0.021331948,788750,788750,13.57820469,39.94921367,-0.06407126,0.036975581
1.48793762,-0.109182673,Manta_birostris,Myliobatiformes,rays,500,8.6275,0.023204348,3.00E+06,3.00E+06,14.91412285,41.18486013,0.487463487,0.564667295
0.717390648,-0.091417556,Mobula_mobular,Myliobatiformes,rays,350,12.767,0.084389508,1500000,1500000,14.22097567,40.58858664,0.221314908,0.285956883
-0.169270594,0.577523725,Myliobatis_californicus,Myliobatiformes,rays,54,13.987,0.38187297,82100,82100,11.3156933,40.41613211,0.144339279,-0.264031664
-0.854317139,0.002840872,Narcine_brasiliensis,Torpediniformes,rays,33,21.2555,0.304833271,650,650,6.476972363,39.41830885,-0.301042322,-0.303051121
-0.711516366,0.056299609,Narcine_entemedor,Torpediniformes,rays,50,20.099,0.337860903,4447.454833,4447.454833,8.400087264,39.5737647,-0.231654104,-0.271463941
-1.236440892,-0.395049122,Neotrygon_annotata,Myliobatiformes,rays,36,25.9435,0.206820076,2801.264894,2801.264894,7.937826342,38.80046516,-0.576818827,-0.297476913
-1.221343604,-0.466666164,Neotrygon_picta,Myliobatiformes,rays,52.5,26.289,0.257522863,1024.157651,1024.157651,6.93162575,38.75569624,-0.596801577,-0.266818768
-1.257998437,-0.371935649,Neotrygon_kuhlii,Myliobatiformes,rays,27.5,25.934,0.153100715,3145.377582,3145.377582,8.05368922,38.8016976,-0.576268721,-0.313270503
0.451764169,0.825424099,Okamejei_kenojei,Rajiformes,skates,125,9.179,1.036578082,750,750,6.620073207,41.10440984,0.451554242,-0.132108735
-1.25203153,-0.352830207,Platyrhina_sinensis,Torpediniformes,rays,25,25.781,0.51887884,519.09,2100,7.649692624,38.82155724,-0.567404311,-0.317915677
-1.563509884,-0.585477352,Pristis_clavata,Rhinopristiformes,rays,10,29.137,0.227292147,198834.1111,198834.1111,12.20022614,38.39055906,-0.759781724,-0.345786718
-1.202847383,-0.492840962,Pristis_pectinata,Rhinopristiformes,rays,61,26.336,0.186138543,350000,350000,12.76568843,38.74961409,-0.599516363,-0.251025178
-1.364369875,-0.491445622,Pristis_pristis,Rhinopristiformes,rays,30,27.3195,0.28281211,625725.3964,778916.7194,13.56565941,38.62277844,-0.656129862,-0.308625329
-1.248973268,-0.481157293,Pristis_zijsron,Rhinopristiformes,rays,50,26.547,0.223712853,865959.5482,865959.5482,13.67159348,38.72233264,-0.611693525,-0.271463941
-0.638119303,-0.004316384,Rhinobatos_horkelii,Rhinopristiformes,rays,75.5,20.024,0.26218008,9525.31514,8315.844848,9.025917992,39.5838885,-0.227135317,-0.224083171
-1.362896486,-0.542526372,Rhinobatos_percellens,Rhinopristiformes,rays,40,27.6255,0.212612148,3725.399421,3725.399421,8.222929352,38.58348478,-0.673668713,-0.290044635
-0.686688483,0.307110291,Rhinobatos_productus,Rhinopristiformes,rays,7,18.49,0.253102844,18400,13040,9.475776835,39.79209617,-0.134201159,-0.351360926
-0.631542565,0.133645703,Pteroplatytrygon_violacea,Myliobatiformes,rays,50.5,19.1785,0.50934726,19877.3522,19877.3522,9.897336282,39.69837674,-0.176033122,-0.270534907
-0.547614403,0.299032781,Raja_asterias,Rajiformes,skates,35,17.7315,0.97873531,7029.589549,2549,7.843456404,39.89585768,-0.087886875,-0.299334982
1.050734083,-0.309892583,Raja_brachyura,Rajiformes,skates,455,12.1275,0.501542491,14280,14280,9.566615236,40.67957314,0.261927023,0.481054171
1.264136556,-0.403931825,Raja_clavata,Rajiformes,skates,513.5,11.466,0.594302152,18000,18000,9.798127037,40.77411996,0.304128298,0.589751232
-0.270103776,0.466179715,Raja_microocellata,Rajiformes,skates,56,15.186,0.651850713,4500,6440,8.770283819,40.24806797,0.069323312,-0.260315525
-0.159329957,0.345715321,Raja_miraletus,Rajiformes,skates,100,15.241,1.27449978,2327.577423,5302.813914,8.575992886,40.24039213,0.065897176,-0.178560471
0.812283039,-0.280317517,Raja_montagui,Rajiformes,skates,404,13.2925,0.604184514,3697.382723,4353.98819,8.378847529,40.51412387,0.188078212,0.386292631
0.091223713,0.19948524,Raja_radula,Rajiformes,skates,175.5,14.65,0.678227855,2465.951414,2587.031099,7.858266203,40.32302615,0.102781136,-0.03827623
-0.121266705,0.373267745,Raja_undulata,Rajiformes,skates,102,14.869,0.368569332,12785.95154,13552.23759,9.514306948,40.29236587,0.089095822,-0.174844332
-0.448091076,0.293447829,Rhinobatos_rhinobatos,Rhinopristiformes,rays,55,17.19,0.524552616,21218.48314,21218.48314,9.962627927,39.97026564,-0.054674645,-0.262173594
-1.360433937,-0.487509684,Rhinoptera_bonasus,Myliobatiformes,rays,30,27.271,0.052656011,24296.6346,24296.6346,10.09809313,38.6290137,-0.653346731,-0.308625329
-1.366745095,-0.401851098,Rhinoptera_steindachneri,Myliobatiformes,rays,12.5,26.783,0.112937278,18814.76033,18814.76033,9.842396965,38.69186427,-0.62529318,-0.341141544
-1.40345732,-0.530533067,Rhynchobatus_australiae,Rhinopristiformes,rays,30,27.802,0.498432479,183549.7204,120747.8152,11.70145948,38.56085663,-0.683768857,-0.308625329
0.447042371,0.032390212,Rostroraja_alba,Rajiformes,skates,275,13.587,0.200638594,96388.30666,117620.8246,11.67522138,40.47251288,0.169505016,0.146601677
-1.180956276,-0.281754953,Raja_eglanteria,Rajiformes,skates,25,24.9165,0.61666784,4854.424831,17592.5335,9.775229858,38.93415371,-0.517146516,-0.317915677
0.421343586,0.918505744,Torpedo_californica,Torpediniformes,rays,101.5,8.8385,0.286401436,41000,41000,10.62132735,41.15404325,0.473708275,-0.175773366
1.721292566,-1.158148724,Torpedo_marmorata,Torpediniformes,rays,744,13.118,0.228964974,3000,3000,8.006367568,40.53882001,0.199101413,1.018036231
-0.26179558,0.453466255,Trygonoptera_imitata,Myliobatiformes,rays,60,15.211,0.27465506,6100.895139,3758.08,8.231663468,40.24457859,0.067765815,-0.252883247
-0.658383619,0.267094774,Trygonoptera_mucosa,Myliobatiformes,rays,20,18.558,0.155280929,1211.092984,3789.778813,8.240062936,39.78282024,-0.138341499,-0.327206024
-0.70857879,0.01982158,Trygonoptera_personata,Myliobatiformes,rays,57.5,20.296,0.180106136,1953.001496,2061.707187,7.63128965,39.54719753,-0.243512448,-0.257528421
-1.056914915,-0.120925694,Urobatis_concentricus,Myliobatiformes,rays,18,23.199,0.33669418,1432.12208,4207.553085,8.344636543,39.15979783,-0.416429543,-0.330922162
-1.218032763,-0.245255646,Urobatis_halleri,Myliobatiformes,rays,11,24.92,0.56745145,1360,1360,7.215239979,38.93369653,-0.517350577,-0.343928648
-1.358880199,-0.514860723,Urobatis_jamaicensis,Myliobatiformes,rays,35.5,27.43,0.369357484,4221.125224,4546.598479,8.422134645,38.60857983,-0.662467455,-0.298405948
-0.019808647,0.456331855,Urolophus_cruciatus,Myliobatiformes,rays,105.5,13.828,0.086241762,1461.735563,917.5,6.82165258,40.43852465,0.154334259,-0.168341089
0.46470507,0.181438259,Urolophus_expansus,Myliobatiformes,rays,250,12.6545,0.090511135,1646.835289,1032.06272,6.939314719,40.60456335,0.228446164,0.100149941
-0.685780505,0.26334725,Urolophus_lobatus,Myliobatiformes,rays,15.5,18.739,0.20946532,924.1534837,583.58138,6.369183911,39.75815096,-0.149352709,-0.335567336
-0.291611767,0.34481886,Urolophus_paucimaculatus,Myliobatiformes,rays,75,15.999,0.195199012,2177.005675,1359.31662,7.214737367,40.13490251,0.018811548,-0.225012206
-0.696510908,0.058166532,Urotrygon_aspidura,Myliobatiformes,rays,52.5,20,0.551035051,516.2131852,516.2131852,6.24651983,39.5871292,-0.225688817,-0.266818768
-1.368699054,-0.422199005,Urotrygon_rogersi,Myliobatiformes,rays,16,26.92,1.166078111,680.6675689,680.6675689,6.523074036,38.67419911,-0.633178082,-0.334638301
-0.751258919,-0.088551223,Zapteryx_brevirostris,Rhinopristiformes,rays,70,21.1865,0.168110613,1272,1891.734355,7.545249335,39.42754951,-0.296917724,-0.234302553
-0.665774033,0.304375378,Zapteryx_exasperata,Rhinopristiformes,rays,11.5,18.3845,0.250425868,7553.04145,3348.48142,8.116262215,39.80649606,-0.127773719,-0.342999614
